outlet,aperol,alcoholism
check,engagement,wedding
abiding,abide,stay
ablaze,aroused,afire
abrupt,precipitous,sharp
absorbed,enwrapped,intent
absorbing,absorb,suck
abstractionist,abstract,nonfigurative
absurd,ludicrous,nonsensical
accompanied,come with,go with
accompanied,go with,accompany
acknowledged,receipt,notice
acquired,acquire,win
across-the-board,blanket,broad
acuate,acute,sharp
adopted,embrace,adopt
adorned,deck,adorn
advance,forward motion,onward motion
advance,win,pull ahead
advanced,encourage,advance
advancing,advance,progress
aerated,air,aerate
affected,regard,feign
affecting,dissemble,affect
aggregated,aggregative,mass
agile,quick,spry
agitated,agitate,foment
alarmed,appall,horrify
alcoholic,boozer,lush
alimental,nutritious,nutritive
all,totally,altogether
amazed,astounded,stunned
amazing,mystify,baffle
amebic,amoeban,ameban
amebous,amoebic,amebic
ameliorating,amend,ameliorate
amoebous,amoebic,amebic
amorphous,formless,shapeless
amphistylar,amphiprostyle,porticoed
amuck,berserk,demoniac
ancestral,hereditary,patrimonial
angled,angle,lean
animated,exalt,animize
animated,animise,animate
annihilating,withering,devastating
answering,suffice,do
antimicrobic,disinfectant,germicide
appalled,outrage,dismay
appalled,shock,offend
appealing,attract,appeal
applied,employ,apply
applied,enforce,implement
apprehended,pick up,nab
apprenticed,bound,indentured
approbative,approving,affirmative
approving,approbatory,plausive
arced,arciform,arcuate
aroused,fire,raise
arrant,stark,staring
arrayed,lay out,set out
arrayed,align,array
arresting,catch,arrest
ascending,go up,ascend
aspiring,aim,shoot for
assigned,specify,set apart
assumed,seize,take over
assured,assure,tell
astounding,astonishing,staggering
ataractic,tranquillizing,tranquilising
attempted,seek,attempt
attired,get up,rig out
away,off,aside
awkward,inapt,inept
awry,skew-whiff,amiss
back,spine,backbone
baffled,stupefy,nonplus
baffling,perplex,vex
baffling,problematic,problematical
baked,broil,bake
baked,bake,broil
balanced,equilibrize,equilibrise
balmy,kooky,kookie
banned,ban,banish
banned,shun,cast out
based,found,base
beaming,radiate,shine
beat,pulse,pulsation
beat,overreach,outsmart
beat,dumbfound,exhaust
beaten,trounce,vanquish
beaten,scramble,beat
beaten,perplex,vex
bedraggled,draggled,broken-down
befouled,defile,maculate
beginning,set about,set out
beguiled,enamor,captivate
behind,can,fundament
bended,flex,bend
