fish,computer,electric eel
electric eel,submarine,observation
zap,observation,x-ray
x-ray,lighting,injury
injury,shock,electrocution
christmas light,clock,decoration
circuit,decoration,firework
tv,firework,new years eve
new years eve,halftime show,winter
america,winter,rockefeller 
snow,rockefeller,ice skating
scarf,pizza,oven
pizza print,oven,burned
quirky,burned,smore
mrs. frizzle,smore,childhood
childhood,field trip,nyc
nyc,museum,the met
fish,light,angler
sock,apple,basket
steve jobs,basket,coffin
cancer,death,hospice
hospice,terminal,funeral
funeral,cremate,mourning
mourning,grief,sadness
sadness,loss,depressed
glass,chair,throne
modern,throne,toilet
toilet,iron throne,joffrey
joffrey,season 8,tommin
ned stark,sansa,daughter
liana stark,daughter,aria
bean,red,kidney
kidney,pinto,legumes
legume,chili,gazpacho
gazpacho,black bean,spanish
spanish,vegetable,salsa
corn,salsa,chipotle
chipotle,dip,guac
guac,queso,chip
chip,pico,snack
snack,tostitos,nachos
nachos,finger food,superbowl
superbowl,shareability,team
team,sports betting,fanduel
fanduel,fixed,fraud
fraud,con,politician
political,convict,trump
outlet,aperol,alcoholism
alcoholism,mall,cheesecake factory
cf,shopaholic,appetizer
appetizer,binge eating,tapas
tapas,mozzarella sticks,cheese plate
cheese plate,fried mozzarella,dairy
dairy,italian,parmesan
parmesan,ricotta,yummy
yummy,pasta,tortellini
tortellini,olive garden,bread sticks
bread sticks,dinner,side
side,unlimited,basket
basket,fries,fryer
fryer and  fish,chips,england
england,chippy,nandos
london,nandos,chicken
chicken,cheeky,popeyes
popeyes,amelia,dating
dating,biscuit,couple
restaurant,couple,date
date,proposal,engagement
engagement,wedding,honeymoon
fish,juice,sauce
bill,electric,money 
foreman,fireplace,house
grill,electric,gaslight
energy,electric,heat
representative,aura,power
check,engagement,wedding
propose,word,yes
plan,bachelor,party
sweet,honey,wedding
fruit,girl,spice
red cross,basket,charity
donation,disaster,red cross
microaggression,micro,oppression
abandoned,abandon,give up
abandoned,give up,vacate
abandoned,vacate,empty
abandoned,empty,abandon
abandoned,abandon,give up
abandoned,give up,abandon
abandoned,abandon,forsake
abandoned,forsake,desolate
abandoned,desolate,desert
abbreviated,abridge,foreshorten
abbreviated,foreshorten,abbreviate
abbreviated,abbreviate,shorten
abbreviated,shorten,cut
abbreviated,cut,contract
abbreviated,contract,reduce
abbreviated,reduce,abbreviate
abbreviated,brief,shortened
abbreviated,shortened,truncated
abducent,abducent nerve,abducens
abducent,abducens,abducens nerve
abducent,abducens nerve,nervus abducens
abducent,nervus abducens,sixth cranial nerve
abducting,kidnap,nobble
abducting,nobble,abduct
abducting,abduct,snatch
abducting,snatch,abduct
abhorrent,detestable,obscene
abhorrent,obscene,repugnant
abhorrent,repugnant,repulsive
abiding,bide,abide
abiding,abide,stay
abiding,stay,digest
abiding,digest,endure
abiding,endure,stick out
abiding,stick out,stomach
abiding,stomach,bear
abiding,bear,stand
abiding,stand,tolerate
abiding,tolerate,support
abiding,support,brook
abiding,brook,abide
abiding,abide,suffer
abiding,suffer,put up
abject,low,low-down
abject,low-down,miserable
abject,miserable,scummy
abject,scummy,scurvy
abject,scurvy,unhopeful
ablaze,aflame,aroused
ablaze,aroused,afire
ablaze,afire,aflame
ablaze,aflame,aflare
ablaze,aflare,alight
ablaze,alight,on fire
ablaze,on fire,inflamed
ablaze,inflamed,reddened
abominable,detestable,execrable
abominable,execrable,odious
abominable,odious,atrocious
abominable,atrocious,awful
abominable,awful,dreadful
abominable,dreadful,painful
abominable,painful,terrible
abominable,terrible,unspeakable
abounding,abound,burst
abounding,burst,bristle
about,approximately,close to
about,close to,just about
about,just about,some
about,some,roughly
about,roughly,more or less
about,more or less,around
about,around,or so
about,or so,around
about,around,almost
about,almost,most
about,most,nearly
about,nearly,near
about,near,nigh
about,nigh,virtually
about,virtually,well-nigh
